VolcanoNumber,VolcanoName,Country,PrimaryVolcanoType,ActivityEvidence,LastKnownEruption,Region,Subregion,Latitude,Longitude,Elevation,DominantRockType,TectonicSetting,,,Multiple
210010,West Eifel Volcanic Field,Germany,maar,Eruption Dated,8300 BCE,Mediterranean and Western Asia,Western Europe,50.17,6.85,600,Foidite,Rift zone / Continental crust (>25 km),,,true
210020,Chaine des Puys,France,lava-dome,Eruption Dated,4040 BCE,Mediterranean and Western Asia,Western Europe,45.775,2.97,1464,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,true
210030,Olot Volcanic Field,Spain,pyroclastic-cone,Evidence Credible,Unknown,Mediterranean and Western Asia,Western Europe,42.17,2.53,893,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km),,,true
210040,Calatrava Volcanic Field,Spain,pyroclastic-cone,Eruption Dated,3600 BCE,Mediterranean and Western Asia,Western Europe,38.87,-4.02,1117,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),,,true
211001,Larderello,Italy,explosion-crater,Eruption Observed,1282 CE,Mediterranean and Western Asia,Italy,43.25,10.87,500,No Data (checked),Subduction zone / Continental crust (>25 km),,,true
211003,Vulsini,Italy,caldera,Eruption Observed,104 BCE,Mediterranean and Western Asia,Italy,42.6,11.93,800,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km),,,false
211004,Alban Hills,Italy,caldera,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Italy,41.73,12.7,949,Foidite,Subduction zone / Continental crust (>25 km),,,false
211010,Campi Flegrei,Italy,caldera,Eruption Observed,1538 CE,Mediterranean and Western Asia,Italy,40.827,14.139,458,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km),,,false
211020,Vesuvius,Italy,stratovolcano,Eruption Observed,1944 CE,Mediterranean and Western Asia,Italy,40.821,14.426,1281,Phono-tephrite /  Tephri-phonolite,Subduction zone / Continental crust (>25 km),,,false
211030,Ischia,Italy,complex,Eruption Observed,1302 CE,Mediterranean and Western Asia,Italy,40.73,13.897,789,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km),,,false
211031,Palinuro,Italy,submarine,Eruption Dated,8040 BCE,Mediterranean and Western Asia,Italy,39.48,14.83,-70,Phonolite,Subduction zone / Continental crust (>25 km),,,false
211040,Stromboli,Italy,stratovolcano,Eruption Observed,2015 CE,Mediterranean and Western Asia,Italy,38.789,15.213,924,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km),,,false
211041,Panarea,Italy,stratovolcano,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Italy,38.63,15.07,421,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),,,false
211042,Lipari,Italy,stratovolcano,Eruption Dated,1230 CE,Mediterranean and Western Asia,Italy,38.48,14.95,602,Rhyolite,Subduction zone / Continental crust (>25 km),,,true
211050,Vulcano,Italy,stratovolcano,Eruption Observed,1890 CE,Mediterranean and Western Asia,Italy,38.404,14.962,500,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),,,true
211060,Etna,Italy,stratovolcano,Eruption Observed,2016 CE,Mediterranean and Western Asia,Italy,37.734,15.004,3330,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),,,true
211070,Campi Flegrei Mar Sicilia,Italy,submarine,Eruption Observed,1867 CE,Mediterranean and Western Asia,Italy,37.1,12.7,-8,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km),,,false
211071,Pantelleria,Italy,shield,Eruption Observed,1891 CE,Mediterranean and Western Asia,Italy,36.77,12.02,836,Rhyolite,Rift zone / Continental crust (>25 km),,,false
211080,Marsili,Italy,submarine,Eruption Dated,1050 BCE,Mediterranean and Western Asia,Italy,39.284,14.399,-779,,,,,false
211800,Amiata,Italy,lava-dome,Unrest / Pleistocene,Unknown,Mediterranean and Western Asia,Italy,42.9,11.63,1738,,Subduction zone / Continental crust (>25 km),,,true
212020,Methana,Greece,lava-dome,Eruption Observed,258 BCE,Mediterranean and Western Asia,Greece,37.615,23.336,760,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),,,true
212030,Milos,Greece,stratovolcano,Eruption Dated,140 CE,Mediterranean and Western Asia,Greece,36.699,24.439,751,Rhyolite,Subduction zone / Continental crust (>25 km),,,true
212040,Santorini,Greece,shield,Eruption Observed,1950 CE,Mediterranean and Western Asia,Greece,36.404,25.396,367,Dacite,Subduction zone / Continental crust (>25 km),,,true
212050,Nisyros,Greece,stratovolcano,Eruption Observed,1888 CE,Mediterranean and Western Asia,Greece,36.586,27.16,698,Dacite,Subduction zone / Continental crust (>25 km),,,false
212051,Yali,Greece,lava-dome,Evidence Credible,Unknown,Mediterranean and Western Asia,Greece,36.671,27.14,180,Rhyolite,Subduction zone / Continental crust (>25 km),,,true
212805,Kos,Greece,caldera,Unrest / Pleistocene,Unknown,Mediterranean and Western Asia,Greece,36.852,27.251,430,,Subduction zone / Continental crust (>25 km),,,true
213000,Kula,Turkey,pyroclastic-cone,Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,38.58,28.52,750,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km),,,true
213001,Karapinar Field,Turkey,pyroclastic-cone,Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,37.67,33.65,1302,Trachyandesite / Basaltic Trachyandesite,Intraplate / Continental crust (>25 km),,,true
213002,Hasan Dagi,Turkey,stratovolcano,Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,38.13,34.17,3253,Dacite,Intraplate / Continental crust (>25 km),,,false
213003,Gollu Dag,Turkey,lava-dome,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Turkey,38.25,34.57,2143,Rhyolite,Intraplate / Continental crust (>25 km),,,false
